Name,long,Lat
,-179,-43.002
Ceratocephale loveni,-178.685,60.643
,-162.675,54
,-131.924,10.401
,-131.725,9.828
,-127.048,47.832
,-125.926,14.056
,-125.442,14.706
,-125.421,14.706
Ceratocephale pacifica,-123.499,37.683
Ceratocephale pacifica,-123.48,37.683
Ceratocephale pacifica,-123.467,37.717
,-123.316,13.944
,-117.542,11.821
Ceratocephale loveni,-117.427,32.741
,-117.38,12.009
Ceratocephale papillata,-115.029,27.986
Ceratocephale papillata,-114.841,27.922
Ceratocephale papillata,-114.736,28.666
Ceratocephale oculata,-114.732,27.344
Ceratocephale oculata,-114.679,27.388
Ceratocephale papillata,-114.667,28.5
Ceratocephale papillata,-114.633,28.486
Ceratocephale papillata,-114.571,28.137
Ceratocephale papillata,-114.505,27.963
Ceratocephale oculata,-114.462,31.268
Ceratocephale papillata,-114.456,27.999
Ceratocephale oculata,-114.367,31.267
Ceratocephale oculata,-114.362,31.268
Ceratocephale papillata,-114.222,31.138
Ceratocephale oculata,-114.222,31.138
Ceratocephale papillata,-114.21,28.3
Ceratocephale papillata,-114.068,30.99
Ceratocephale papillata,-113.687,31.313
Ceratocephale oculata,-113.687,31.313
Ceratocephale papillata,-113.371,26.066
Ceratocephale papillata,-113.235,26.096
Ceratocephale papillata,-113.159,26.161
Ceratocephale papillata,-113.027,25.83
Ceratocephale papillata,-112.977,26.317
Ceratocephale papillata,-112.93,25.705
Ceratocephale papillata,-112.923,30.04
Ceratocephale papillata,-112.892,25.95
Ceratocephale papillata,-112.853,26.037
Ceratocephale papillata,-112.838,26.143
Ceratocephale oculata,-112.802,28.173
Ceratocephale oculata,-112.783,30.183
Ceratocephale oculata,-112.775,28.142
Ceratocephale papillata,-112.738,26.143
Ceratocephale oculata,-112.708,28.142
Ceratocephale oculata,-112.702,28.128
Ceratocephale papillata,-112.605,26.205
Ceratocephale papillata,-112.604,26.019
Ceratocephale papillata,-112.602,26.193
Ceratocephale papillata,-112.578,26.156
Ceratocephale papillata,-112.567,26.185
Ceratocephale papillata,-112.563,26.053
Ceratocephale papillata,-112.553,25.678
Ceratocephale papillata,-112.535,24.744
Ceratocephale papillata,-112.532,24.757
Ceratocephale oculata,-112.523,29.207
Ceratocephale papillata,-112.523,25.198
Ceratocephale papillata,-112.52,25.122
Ceratocephale oculata,-112.512,29.388
Ceratocephale papillata,-112.465,29.435
Ceratocephale papillata,-112.388,25.637
Ceratocephale papillata,-112.34,25.13
Ceratocephale papillata,-112.327,24.854
Ceratocephale papillata,-112.325,24.658
Ceratocephale papillata,-112.31,25.638
Ceratocephale papillata,-112.307,24.598
Ceratocephale papillata,-112.275,25.132
Ceratocephale papillata,-112.272,25.202
Ceratocephale papillata,-112.268,25.17
Ceratocephale papillata,-112.26,25.24
Ceratocephale papillata,-112.252,25.482
Ceratocephale papillata,-112.247,25.528
Ceratocephale papillata,-112.072,24.474
Ceratocephale papillata,-112.038,24.341
Ceratocephale papillata,-112.021,24.468
Ceratocephale papillata,-112.019,24.65
Ceratocephale papillata,-112.005,24.235
Ceratocephale papillata,-112,24.235
Ceratocephale pacifica,-111.992,26.992
Ceratocephale oculata,-111.992,26.992
Ceratocephale papillata,-111.988,24.192
Ceratocephale papillata,-111.982,24.615
Ceratocephale papillata,-111.981,24.633
Ceratocephale oculata,-111.972,26.987
Ceratocephale papillata,-111.946,24.585
Ceratocephale papillata,-111.908,24.318
Ceratocephale oculata,-111.892,26.992
Ceratocephale oculata,-111.892,26.99
Ceratocephale papillata,-111.868,24.288
Ceratocephale oculata,-111.858,26.992
Ceratocephale papillata,-111.852,24.051
Ceratocephale papillata,-111.84,26.993
Ceratocephale oculata,-111.84,26.993
Ceratocephale papillata,-111.827,24.277
Ceratocephale papillata,-111.81,24.121
Ceratocephale hartmanae,-111.725,27.475
Ceratocephale pacifica,-111.717,27.467
Ceratocephale papillata,-111.618,28.297
Ceratocephale papillata,-111.61,28.273
Ceratocephale oculata,-111.61,28.273
Ceratocephale papillata,-111.577,24.235
Ceratocephale papillata,-111.575,23.925
Ceratocephale oculata,-111.575,23.925
Ceratocephale papillata,-111.573,24.235
Ceratocephale papillata,-111.537,24.262
Ceratocephale papillata,-111.518,28.297
Ceratocephale papillata,-111.408,24.258
Ceratocephale pacifica,-111.4,27.017
Ceratocephale pacifica,-111.383,27.05
Ceratocephale pacifica,-111.38,27.05
Ceratocephale oculata,-111.125,25.975
Ceratocephale oculata,-111.115,25.977
Ceratocephale oculata,-111.115,25.975
Ceratocephale oculata,-111.021,25.568
Ceratocephale papillata,-110.377,24.367
Ceratocephale papillata,-110.068,26.887
Ceratocephale oculata,-110.068,26.887
Ceratocephale papillata,-110.035,22.88
,-110.019,-71.348
Ceratocephale hartmanae,-110,25.308
Ceratocephale pacifica,-109.967,25.333
Ceratocephale papillata,-109.51,25.702
Ceratocephale papillata,-109.477,25.665
Ceratocephale oculata,-109.477,25.665
Ceratocephale oculata,-109.405,23.11
Ceratocephale oculata,-109.4,23.1
Ceratocephale papillata,-108.697,24.948
Ceratocephale oculata,-106.532,21.637
Ceratocephale papillata,-106.05,22.05
Ceratocephale oculata,-106.05,22.05
Ceratocephale hartmanae,-105.967,19.858
Ceratocephale papillata,-105.617,21.417
Ceratocephale oculata,-105.617,21.417
Ceratocephale papillata,-105.558,20.86
Ceratocephale oculata,-105.558,20.86
Ceratocephale papillata,-105.526,20.689
Ceratocephale oculata,-105.526,20.689
Ceratocephale papillata,-105.458,20.898
Ceratocephale oculata,-105.458,20.898
Ceratocephale oculata,-105.45,20.883
Ceratocephale oculata,-105.362,21.054
Ceratocephale hartmanae,-100.213,16.703
Ceratocephale oculata,-97.699,21.932
Ceratocephale oculata,-97.633,22.336
Ceratocephale oculata,-97.348,21.128
Ceratocephale oculata,-97.333,26.967
Ceratocephale oculata,-97.33,26.97
Ceratocephale loveni,-97.33,26.97
Ceratocephale oculata,-97.263,20.975
Ceratocephale oculata,-97.24,21.15
Ceratocephale oculata,-97.24,21.145
Ceratocephale oculata,-97.218,20.947
Ceratocephale oculata,-97.212,21.087
Ceratocephale oculata,-97.133,26.167
Ceratocephale oculata,-97.13,26.17
Ceratocephale loveni,-97.13,26.17
Ceratocephale oculata,-97.078,27.281
Ceratocephale oculata,-97.02,26.17
Ceratocephale loveni,-97.02,26.17
Ceratocephale oculata,-97.017,26.167
,-97.017,26.167
Ceratocephale oculata,-96.742,20.258
Ceratocephale loveni,-96.65,26.17
Ceratocephale oculata,-96.65,26.167
Ceratocephale oculata,-96.53,27.435
Ceratocephale loveni,-96.53,27.435
Ceratocephale oculata,-96.52,26.17
Ceratocephale loveni,-96.52,26.17
Ceratocephale oculata,-96.517,26.167
Ceratocephale oculata,-96.484,27.551
Ceratocephale loveni,-96.484,27.551
Ceratocephale oculata,-96.483,28.233
Ceratocephale loveni,-96.48,28.23
Ceratocephale oculata,-96.472,27.535
Ceratocephale loveni,-96.472,27.535
Ceratocephale oculata,-96.457,27.546
Ceratocephale loveni,-96.457,27.546
Ceratocephale oculata,-96.45,28.2
Ceratocephale oculata,-96.4,26.17
Ceratocephale loveni,-96.4,26.17
Ceratocephale oculata,-96.4,26.167
Ceratocephale oculata,-96.383,27.3
Ceratocephale oculata,-96.38,27.3
