Name,long,lat
Dendronereides,88.1,21.717
Dendronereides,51.417,26.217
Dendronereides,72.826,18.975
Dendronereides,76.3,9.96
Dendronereides,86.75,20.317
Dendronereides,87.633,21.647
Dendronereides,88.167,21.5
Dendronereides,88.185,22.192
Dendronereides,88.417,22.533
Dendronereides,93.783,7.217
Dendronereides,130.317,-13.35
Dendronereides,130.65,-13.65
Dendronereides,130.667,-13.683
Dendronereides,130.8,-12.492
Dendronereides,130.9,-12.4
Dendronereides,130.95,-12.55
Dendronereides,131.096,-12.222
Dendronereides,131.208,-12.758
Dendronereides,132.15,-11.383
Dendronereides,136.583,-15.833
Dendronereides,140.833,-17.483
Dendronereides,32.05,-28.848
Dendronereides,32.06,-28.801
Dendronereides,32.404,-28.381
Dendronereides,82.3,16.633
Dendronereides,103.764,1.443
Dendronereides,128.117,-15.55
Dendronereides,128.117,-15.333
Dendronereides,130.859,-12.443
Dendronereides,131,-12.167
Dendronereides,130.863,-12.519
Dendronereides,131.015,-12.569
Dendronereides,114.033,22.5
