Name,long,lat
Dendronereis arborifera,29.518,-31.651
Dendronereis arborifera,29.56,-31.628
Dendronereis arborifera,30.803,-30.201
Dendronereis arborifera,31.82,-28.944
Dendronereis arborifera,32.05,-28.848
Dendronereis arborifera,32.06,-28.801
Dendronereis arborifera,32.404,-28.381
Dendronereis arborifera,39.456,-6.434
Dendronereis arborifera,44.217,-20.383
Dendronereis aestuarina,73.467,16.067
Dendronereis aestuarina,73.7,15.717
Dendronereis aestuarina,74.25,15.583
Dendronereis aestuarina,75.35,11.85
Dendronereis aestuarina,76.217,9.967
Dendronereis aestuarina,76.22,9.91
Dendronereis aestuarina,76.24,9.98
Dendronereis aestuarina,76.244,9.974
Dendronereis aestuarina,76.264,9.981
Dendronereis aestuarina,76.264,9.946
Dendronereis aestuarina,76.278,9.961
Dendronereis aestuarina,76.28,10.075
Dendronereis aestuarina,76.298,9.926
Dendronereis aestuarina,76.3,9.96
Dendronereis arborifera,76.33,9.92
Dendronereis aestuarina,76.33,9.92
Dendronereis arborifera,79.16,9.21
Dendronereis aestuarina,79.314,10.42
Dendronereis aestuarina,79.32,10.276
Dendronereis arborifera,79.767,11.483
Dendronereis aestuarina,79.767,11.483
Dendronereis aestuarina,79.869,10.392
Dendronereis aestuarina,80.294,13.093
Dendronereis aestuarina,80.294,13.092
Dendronereis arborifera,83.333,17.717
Dendronereis aestuarina,85.333,19.767
Dendronereis arborifera,86.75,20.317
Dendronereis aestuarina,86.75,20.317
,87.533,21.608
Dendronereis arborifera,88.167,21.5
Dendronereis aestuarina,88.167,21.5
Dendronereis chipolini,108.62,21.9
Dendronereis chipolini,109.5,18.27
Dendronereis pinnaticirris,112.81,-7.38
Dendronereis pinnaticirris,113.44,-7.23
Dendronereis chipolini,120.06,23.057
Dendronereis chipolini,120.432,22.479
