family,genus,species,Longitude,Latitude
Nereididae,Alitta,Alitta acutifolia,-106.42,23.18
Nereididae,Alitta,Alitta acutifolia,-88.917,13.317
Nereididae,Alitta,Alitta acutifolia,-85.669,11.036
Nereididae,Alitta,Alitta acutifolia,-85.108,9.975
Nereididae,Alitta,Alitta acutifolia,-84.975,10.075
Nereididae,Alitta,Alitta acutifolia,-84.975,10.008
Nereididae,Alitta,Alitta acutifolia,-84.83,9.97
Nereididae,Alitta,Alitta acutifolia,-84,10
Nereididae,Alitta,Alitta acutifolia,-48.311,-25.552
Nereididae,Alitta,Alitta brandti,-135.569,57.152
Nereididae,Alitta,Alitta brandti,-135.121,57.78
Nereididae,Alitta,Alitta brandti,-134.67,58.32
Nereididae,Alitta,Alitta brandti,-134.65,58.39
Nereididae,Alitta,Alitta brandti,-131.686,55.352
Nereididae,Alitta,Alitta brandti,-130.083,53.55
Nereididae,Alitta,Alitta brandti,-125.117,48.867
Nereididae,Alitta,Alitta brandti,-123.45,48.65
Nereididae,Alitta,Alitta brandti,-123.242,48.75
Nereididae,Alitta,Alitta brandti,-123.169,48.572
Nereididae,Alitta,Alitta brandti,-123.066,48.49
Nereididae,Alitta,Alitta brandti,-123,48
Nereididae,Alitta,Alitta brandti,-122.787,47.805
Nereididae,Alitta,Alitta brandti,-122.526,47.972
Nereididae,Alitta,Alitta brandti,-122.496,37.498
Nereididae,Alitta,Alitta brandti,-122.496,37.497
Nereididae,Alitta,Alitta brandti,-121.788,36.813
Nereididae,Alitta,Alitta brandti,-121.494,38.582
Nereididae,Alitta,Alitta brandti,-115.571,28.301
Nereididae,Alitta,Alitta brandti,-103.702,18.602
Nereididae,Alitta,Alitta brandti,33.097,66.554
Nereididae,Alitta,Alitta brandti,150.735,59.527
Nereididae,Alitta,Alitta grandis,-70.906,42.42
Nereididae,Alitta,Alitta grandis,-66.58,45.121
Nereididae,Alitta,Alitta grandis,10.996,58.918
Nereididae,Alitta,Alitta grandis,11.188,58.746
Nereididae,Alitta,Alitta grandis,11.664,55.726
Nereididae,Alitta,Alitta grandis,11.839,55.954
Nereididae,Alitta,Alitta grandis,11.854,55.775
Nereididae,Alitta,Alitta grandis,11.865,55.735
Nereididae,Alitta,Alitta succinea,-158.01,21.37
Nereididae,Alitta,Alitta succinea,-158,21.35
Nereididae,Alitta,Alitta succinea,-133.48,33.725
Nereididae,Alitta,Alitta succinea,-125.317,50.367
Nereididae,Alitta,Alitta succinea,-124.201,43.392
Nereididae,Alitta,Alitta succinea,-124.198,43.388
Nereididae,Alitta,Alitta succinea,-123.946,45.402
Nereididae,Alitta,Alitta succinea,-122.91,38.17
Nereididae,Alitta,Alitta succinea,-122.533,38.148
Nereididae,Alitta,Alitta succinea,-122.51,38.11
Nereididae,Alitta,Alitta succinea,-122.506,37.967
Nereididae,Alitta,Alitta succinea,-122.505,37.879
Nereididae,Alitta,Alitta succinea,-122.504,37.88
Nereididae,Alitta,Alitta succinea,-122.5,37.96
Nereididae,Alitta,Alitta succinea,-122.493,37.865
Nereididae,Alitta,Alitta succinea,-122.49,38.02
Nereididae,Alitta,Alitta succinea,-122.473,38.089
Nereididae,Alitta,Alitta succinea,-122.47,38.03
Nereididae,Alitta,Alitta succinea,-122.47,37.96
Nereididae,Alitta,Alitta succinea,-122.468,37.962
Nereididae,Alitta,Alitta succinea,-122.46,37.9
Nereididae,Alitta,Alitta succinea,-122.46,37.96
Nereididae,Alitta,Alitta succinea,-122.453,38.102
Nereididae,Alitta,Alitta succinea,-122.421,38.049
Nereididae,Alitta,Alitta succinea,-122.398,38.146
Nereididae,Alitta,Alitta succinea,-122.396,38.086
Nereididae,Alitta,Alitta succinea,-122.39,38.08
Nereididae,Alitta,Alitta succinea,-122.387,38.045
Nereididae,Alitta,Alitta succinea,-122.386,38.061
Nereididae,Alitta,Alitta succinea,-122.385,37.978
Nereididae,Alitta,Alitta succinea,-122.384,37.953
Nereididae,Alitta,Alitta succinea,-122.381,37.721
Nereididae,Alitta,Alitta succinea,-122.38,37.763
Nereididae,Alitta,Alitta succinea,-122.38,37.95
Nereididae,Alitta,Alitta succinea,-122.38,38.13
Nereididae,Alitta,Alitta succinea,-122.377,37.702
Nereididae,Alitta,Alitta succinea,-122.37,37.71
Nereididae,Alitta,Alitta succinea,-122.352,38.095
Nereididae,Alitta,Alitta succinea,-122.35,38.09
Nereididae,Alitta,Alitta succinea,-122.333,38.027
Nereididae,Alitta,Alitta succinea,-122.33,38.02
Nereididae,Alitta,Alitta succinea,-122.326,38.11
Nereididae,Alitta,Alitta succinea,-122.316,38.076
Nereididae,Alitta,Alitta succinea,-122.31,38.14
Nereididae,Alitta,Alitta succinea,-122.308,37.866
Nereididae,Alitta,Alitta succinea,-122.3,37.777
Nereididae,Alitta,Alitta succinea,-122.3,37.776
Nereididae,Alitta,Alitta succinea,-122.29,37.77
Nereididae,Alitta,Alitta succinea,-122.278,38.113
Nereididae,Alitta,Alitta succinea,-122.275,38.138
Nereididae,Alitta,Alitta succinea,-122.27,38.1
Nereididae,Alitta,Alitta succinea,-122.269,38.106
Nereididae,Alitta,Alitta succinea,-122.263,37.809
Nereididae,Alitta,Alitta succinea,-122.262,37.801
Nereididae,Alitta,Alitta succinea,-122.261,37.807
Nereididae,Alitta,Alitta succinea,-122.259,37.805
Nereididae,Alitta,Alitta succinea,-122.258,37.805
Nereididae,Alitta,Alitta succinea,-122.257,37.805
Nereididae,Alitta,Alitta succinea,-122.257,37.671
