Name,long,lat
Gymnonereis crosslandi,-124.104,39.799
Gymnonereis crosslandi,-120.197,34.454
Gymnonereis crosslandi,-120.142,34.102
Gymnonereis crosslandi,-120.124,34.096
Gymnonereis crosslandi,-120.031,34.397
Gymnonereis crosslandi,-119.936,34.116
Gymnonereis crosslandi,-119.831,34.4
Gymnonereis crosslandi,-119.749,34.075
Gymnonereis crosslandi,-119.701,34.079
Gymnonereis crosslandi,-119.662,34.395
Gymnonereis crosslandi,-119.656,34.08
Gymnonereis crosslandi,-119.596,34.384
Gymnonereis crosslandi,-119.559,34.306
Gymnonereis crosslandi,-119.512,34.231
Gymnonereis crosslandi,-119.433,34.313
Gymnonereis crosslandi,-118.592,34.014
Gymnonereis crosslandi,-118.559,33.998
Gymnonereis crosslandi,-118.521,33.922
Gymnonereis crosslandi,-118.517,33.874
Gymnonereis crosslandi,-118.5,33.91
Gymnonereis crosslandi,-118.485,33.445
Gymnonereis crosslandi,-118.47,33.877
Gymnonereis crosslandi,-118.47,33.835
Gymnonereis crosslandi,-118.456,33.79
Gymnonereis crosslandi,-118.446,33.759
Gymnonereis crosslandi,-118.427,33.82
Gymnonereis crosslandi,-118.269,33.719
Gymnonereis crosslandi,-118.261,33.719
Gymnonereis crosslandi,-118.218,33.753
Gymnonereis crosslandi,-118.212,33.722
Gymnonereis crosslandi,-117.771,33.512
Gymnonereis crosslandi,-117.69,33.428
Gymnonereis crosslandi,-117.619,33.355
Gymnonereis crosslandi,-117.398,33.159
Gymnonereis crosslandi,-117.387,33.153
Gymnonereis crosslandi,-117.383,33.152
Gymnonereis crosslandi,-117.361,33.119
Gymnonereis crosslandi,-117.358,33.115
Gymnonereis crosslandi,-117.301,32.999
Gymnonereis crosslandi,-117.282,32.682
Gymnonereis crosslandi,-117.282,32.679
Gymnonereis crosslandi,-116.953,32.206
Gymnonereis crosslandi,-115.8,29.604
Gymnonereis crosslandi,-115.717,29.571
Gymnonereis crosslandi,-114.462,31.268
Gymnonereis crosslandi,-114.362,31.268
Gymnonereis crosslandi,-114.222,31.138
Gymnonereis crosslandi,-110.333,24.267
Gymnonereis crosslandi,-105.526,20.689
Gymnonereis crosslandi,-96.6,27.129
Gymnonereis crosslandi,-96.52,26.17
Gymnonereis crosslandi,-96.517,26.167
Gymnonereis crosslandi,-96.12,27.57
Gymnonereis crosslandi,-96.117,27.567
Gymnonereis crosslandi,-95.505,15.267
,-93.548,27.58
,-93.32,26.732
Gymnonereis crosslandi,-92.045,28.137
,-91.762,27.771
,-91.556,27.323
,-89.829,28.542
,-89.496,28.22
,-89.166,27.827
,-88.67,27.326
,-87.118,28.029
,-86.418,28.253
,-85.251,28.4
Gymnonereis crosslandi,-84.99,9.733
Gymnonereis crosslandi,-84.883,9.958
Gymnonereis crosslandi,-84.867,9.951
Gymnonereis crosslandi,-84.806,9.961
Gymnonereis crosslandi,-84.803,9.867
Gymnonereis crosslandi,-84.794,9.928
Gymnonereis crosslandi,-84.783,9.961
Gymnonereis crosslandi,-84.764,9.911
Gymnonereis crosslandi,-84.758,9.871
Gymnonereis crosslandi,-84.754,9.915
Gymnonereis crosslandi,-83.884,27.939
Gymnonereis crosslandi,-78.165,2.965
Gymnonereis fauveli,-75.283,-48.069
Gymnonereis fauveli,-75.254,-49.104
Gymnonereis fauveli,-75.16,-49.813
Gymnonereis fauveli,-75.108,-48.39
Gymnonereis sibogae,-75.075,-50.595
,-75.069,-48.959
Gymnonereis fauveli,-75.033,-48.942
Gymnonereis fauveli,-74.755,-47.743
Gymnonereis sibogae,-74.702,-50.159
Gymnonereis fauveli,-74.554,-47.88
Gymnonereis fauveli,-74.501,-47.795
Gymnonereis fauveli,-74.5,-48.5
Gymnonereis sibogae,-74.448,-46.814
Gymnonereis fauveli,-74.428,-48.885
,-74.379,-48.644
Gymnonereis fauveli,-74.377,-48.65
Gymnonereis fauveli,-74.365,-49.797
Gymnonereis fauveli,-74.262,-47.982
Gymnonereis fauveli,-74.226,-47.773
Gymnonereis fauveli,-74.22,-47.977
,-74.213,-47.773
Gymnonereis fauveli,-73.774,-47.998
Gymnonereis fauveli,-73.742,-47.881
Gymnonereis fauveli,-73.642,-51.95
Gymnonereis fauveli,-73.637,-48.075
Gymnonereis fauveli,-73.612,-48.005
Gymnonereis sibogae,-73.312,-51.817
Gymnonereis fauveli,-73.08,-53.14
Gymnonereis sibogae,-72.562,-51.905
Gymnonereis fauveli,-71.883,-33.017
Gymnonereis fauveli,-71.85,-33
Gymnonereis fauveli,-71.79,-53.36
Gymnonereis fauveli,-69.51,-53.46
Gymnonereis fauveli,-69.2,-52.32
Gymnonereis fauveli,-68.33,-53.2
Gymnonereis fauveli,-68.25,-55.1
,-66.193,18.513
,-66.192,18.513
,-66.153,18.528
Gymnonereis crosslandi,-61.54,16.198
Gymnonereis yurieli,-60.343,-51.542
Gymnonereis tenera,-60.343,-51.542
,-60.343,-51.542
Gymnonereis yurieli,-58.926,-51.821
Gymnonereis tenera,-58.926,-51.821
,-58.926,-51.821
Gymnonereis tenera,-58.01,-51.737
Gymnonereis tenera,-58,-51.733
,-56.282,7.051
Gymnonereis crosslandi,-48.54,-26.32
,-48.488,-25.517
Gymnonereis crosslandi,-48.399,-25.612
Gymnonereis crosslandi,-48.35,-25.55
Gymnonereis crosslandi,-46.912,-24.366
Gymnonereis crosslandi,-46.653,-24.81
Gymnonereis crosslandi,-46.373,-24.066
Gymnonereis crosslandi,-46.334,-24.128
Gymnonereis crosslandi,-46.034,-24.46
Gymnonereis crosslandi,-45.991,-23.836
Gymnonereis crosslandi,-45.899,-23.993
Gymnonereis crosslandi,-45.62,-23.947
Gymnonereis crosslandi,-45.403,-23.814
Gymnonereis crosslandi,-45.401,-23.814
Gymnonereis crosslandi,-45.398,-23.814
Gymnonereis crosslandi,-45.28,-23.583
Gymnonereis crosslandi,-45.279,-23.582
Gymnonereis crosslandi,-40.357,-20.323
Gymnonereis crosslandi,-40.356,-20.303
Gymnonereis crosslandi,-40.354,-20.293
Gymnonereis crosslandi,-40.327,-20.26
Gymnonereis crosslandi,-40.32,-20.324
Gymnonereis crosslandi,-40.285,-20.322
Gymnonereis crosslandi,-40.253,-19.906
Gymnonereis crosslandi,-40.236,-19.911
Gymnonereis crosslandi,-40.211,-19.921
Gymnonereis crosslandi,-40.209,-19.939
Gymnonereis crosslandi,-40.195,-19.943
Gymnonereis crosslandi,-40.192,-19.923
Gymnonereis crosslandi,-40.19,-19.951
Gymnonereis crosslandi,-40.181,-19.949
Gymnonereis crosslandi,-40.178,-19.926
Gymnonereis crosslandi,-40.176,-19.939
Gymnonereis crosslandi,-40.169,-19.955
,72.96,18.99
,73.13,17
,73.26,16.02
Gymnonereis phuketensis,95,10
Gymnonereis fauveli,95,10
,95,10
Gymnonereis sibogae,107,19.005
Gymnonereis phuketensis,107.873,3.909
Gymnonereis phuketensis,108.017,3.675
Gymnonereis yurieli,108.401,4.184
Gymnonereis phuketensis,108.401,4.184
,108.401,4.184
Gymnonereis yurieli,116.449,-19.58
,116.449,-19.58
Gymnonereis yurieli,116.553,-20.683
,116.553,-20.683
Gymnonereis yurieli,116.616,-20.47
,116.616,-20.47
Gymnonereis sibogae,117.4,-7.54
Gymnonereis sibogae,119.05,-4.96
Gymnonereis sibogae,119.25,39.183
