Name,long,lat
Tambalagamia fauveli,-73.033,-44.883
Tambalagamia orientalis,69.3,20.583
Tambalagamia orientalis,69.317,20.567
Tambalagamia fauveli,81.16,8.52
Tambalagamia fauveli,95,10
Tambalagamia fauveli,118.23,24.52
Tambalagamia fauveli,119.39,25.36
Tambalagamia fauveli,119.783,38.331
Tambalagamia fauveli,120.267,38.333
Tambalagamia fauveli,120.31,26.77
Tambalagamia fauveli,120.995,38.045
Tambalagamia fauveli,121,36
Tambalagamia fauveli,121.5,35.985
Tambalagamia fauveli,122,37.67
Tambalagamia fauveli,122.5,33
Tambalagamia fauveli,123,33
Tambalagamia fauveli,124,32.5
Tambalagamia fauveli,124.101,32.184
Tambalagamia fauveli,124.49,32.5
Tambalagamia fauveli,125.437,34.701
Tambalagamia fauveli,125.88,36.45
Tambalagamia fauveli,125.88,36.21
Tambalagamia fauveli,125.89,36.71
Tambalagamia fauveli,126.1,36.64
Tambalagamia fauveli,126.11,36.57
Tambalagamia fauveli,126.14,36.36
Tambalagamia fauveli,126.19,35.55
Tambalagamia fauveli,126.202,36.439
Tambalagamia fauveli,126.217,36.917
Tambalagamia fauveli,126.217,36.912
Tambalagamia fauveli,126.232,36.462
Tambalagamia fauveli,126.241,34.247
Tambalagamia fauveli,126.306,36.457
Tambalagamia fauveli,126.316,36.466
Tambalagamia fauveli,126.325,36.452
Tambalagamia fauveli,126.333,36.875
Tambalagamia fauveli,126.345,34.746
Tambalagamia fauveli,126.36,35.55
Tambalagamia fauveli,126.38,35.098
Tambalagamia fauveli,126.386,34.776
Tambalagamia fauveli,126.391,36.401
Tambalagamia fauveli,126.4,37.3
Tambalagamia fauveli,126.42,35.56
Tambalagamia fauveli,126.48,35.7
Tambalagamia fauveli,126.482,36.393
Tambalagamia fauveli,126.49,35.58
Tambalagamia fauveli,126.5,37.3
Tambalagamia fauveli,126.5,37.1
Tambalagamia fauveli,126.532,33.525
Tambalagamia fauveli,126.56,36.94
Tambalagamia fauveli,126.578,34.106
Tambalagamia fauveli,126.7,37
Tambalagamia fauveli,126.729,34.234
Tambalagamia fauveli,126.743,34.384
Tambalagamia fauveli,126.79,36.82
Tambalagamia fauveli,126.928,34.268
Tambalagamia fauveli,127.008,34.368
Tambalagamia fauveli,127.109,34.255
Tambalagamia fauveli,127.219,34.235
Tambalagamia fauveli,127.589,34.623
Tambalagamia fauveli,127.745,34.416
Tambalagamia fauveli,127.748,34.248
Tambalagamia fauveli,127.753,34.75
Tambalagamia fauveli,127.765,34.759
Tambalagamia fauveli,127.77,34.771
Tambalagamia fauveli,127.793,34.888
Tambalagamia fauveli,127.934,34.948
Tambalagamia fauveli,128.09,34.705
Tambalagamia fauveli,128.208,34.877
Tambalagamia fauveli,128.214,34.84
Tambalagamia fauveli,128.243,34.838
Tambalagamia fauveli,128.25,34.709
Tambalagamia fauveli,128.254,34.571
Tambalagamia fauveli,128.417,34.574
Tambalagamia fauveli,128.453,34.743
Tambalagamia fauveli,128.535,34.775
Tambalagamia fauveli,128.577,34.585
Tambalagamia fauveli,128.599,34.654
Tambalagamia fauveli,128.705,34.839
Tambalagamia fauveli,128.707,34.809
Tambalagamia fauveli,128.711,34.834
Tambalagamia fauveli,128.722,34.841
Tambalagamia fauveli,128.74,35.059
Tambalagamia fauveli,128.76,34.909
Tambalagamia fauveli,128.892,35.086
Tambalagamia fauveli,128.91,35.006
Tambalagamia fauveli,128.911,35.022
Tambalagamia fauveli,128.919,34.918
Tambalagamia fauveli,128.965,34.989
Tambalagamia fauveli,129.173,35.137
Tambalagamia fauveli,129.271,35.249
Tambalagamia fauveli,129.393,36.29
Tambalagamia fauveli,129.398,36.207
Tambalagamia fauveli,129.462,36.125
Tambalagamia fauveli,129.477,36.693
Tambalagamia fauveli,129.491,36.693
Tambalagamia sinica,111.11,7.77
