,Deep anterior longitudinal depression on prostomium,Prostomium shape,Median antenna,Paired antennae,Papillae on maxillary ring,Papillae on oral ring,Paragnaths,Papillae on terminal ring,Shape of anterior body,Size of achaetous ring,Transverse dorsal projections,Glandular patches,Shape of dorsal cirri,Cirrophores of dorsal cirri,Notopodial ligulae,Notopodial median ligule,Neuropodial postchaetal lobes with projections,Neuropodial ventral ligulae,Neuropodial ventral ligulae,Notoaciculae segment 1 and 2, Notoaciculae segment 3 and 4,Notoaciculae position,Notochaetae,Articulation of supraacicular notopodial chaetae,Subacicular notopodial compound chaetae,Supraacicular neuropodial falcigers,Subacicular neuropodial falcigers
Australonereis,1,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,3,1,1,2,2
Ceratocephale,2,2,1,2,1,2,1,2,2,3,2,1,2,2,1,1,5,2,2,1,1,2,3,1,2,1,1
Ceratonereis,2,2,1,2,1,1,2,1,2,3,1,1,1,1,2,1,2,2,1,1,1,1,3,2,1,2,2
Cheilonereis,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,3,1,1,2,2
Dendronereides,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,2
Dendronereis,2,2,1,2,1,1,1,1,2,1,1,1,3,2,2,2,4,2,1,1,1,1,3,1,1,1,1
Eunereis,1,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,3,2,1,1,2
Gymnonereis,2,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,5,2,2,1,1,2,3,1,2,1,1
Hediste,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,3,2,1,2,2
Imajimanereis,1,2,1,2,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,2,2
Kinberginereis,2,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,3,2,1,2,2,1,3,1,1,1,1
Laeonereis,1,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,3,1,1,1,2
Leonnates,2,2,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,3,1,1,1,1
Laevispinereis,1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,2,3,2,1,1,1,1,3,1,1,1,2
Leptonereis,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,2
Micronereides,2,2,1,2,1,2,1,2,2,3,1,1,1,1,1,1,1,2,2,1,1,2,3,1,2,1,1
Micronereis,1,3,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
Namalycastis,1,2,1,2,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,3,1,3,1,1,2,2
Namanereis,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,3,1,1,2,1
Neanthes,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,3,1,1,1,2
Nectoneanthes,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,3,1,1,1,1
Nereis,1,2,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,3,2,1,1,2
Nicon,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,2,2
Olganereis,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,2,2
Paraleonnates,2,2,1,2,1,2,2,1,2,1,1,1,1,1,2,1,3,2,1,2,2,1,3,1,1,1,1
Perinereis,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1
Platynereis,1,2,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,3,2,1,1,2
Profundilycastis,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,2,2
Pseudonereis,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,2
Rullierinereis,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,3,1,1,1,2
Sinonereis,1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,3,1,1,1,1
Solomonereis,2,2,1,2,1,1,2,1,2,3,1,2,1,1,2,1,2,2,1,1,1,1,3,1,1,2,1
Stenoninereis,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,3,1,1,1,2
Tambalagamia,2,2,1,2,1,2,1,2,2,3,2,1,1,2,1,1,5,2,2,1,1,2,3,1,2,1,1
Tylonereis,1,2,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1
Tylorrhynchus,1,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,1,3,1,1,1,1
Unanereis,1,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,3,1,1,2,2
Websterinereis,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,3,1,1,2,2
