species,trait_1,trait_2,trait_3,trait_4,trait_5,trait_6
sp_1,2,1,3,0,4,3
sp_2,1,1,1,2,1,1
sp_3,1,1,1,2,1,1
sp_4,1,1,1,2,1,1
sp_5,1,1,1,1,1,2
sp_6,1,1,1,1,1,2
sp_7,1,1,1,1,1,1
sp_8,1,1,1,1,1,1
sp_9,2,2,1,1,1,1
sp_10,2,2,2,1,2,2
sp_11,1,1,1,1,2,2
sp_12,1,1,1,1,1,1
sp_13,1,1,1,1,1,1
sp_14,1,1,1,1,1,1
sp_15,1,1,1,1,1,1
sp_17,1,1,1,1,1,1
sp_18,2,2,1,2,2,1
sp_19,2,2,1,2,1,1
sp_20,4,2,1,2,2,1
sp_21,4,2,1,2,1,1
sp_23,1,1,3,2,1,1
sp_24,1,1,1,2,1,1
sp_25,1,1,1,2,1,1
sp_26,1,1,1,2,1,2
sp_27,1,2,1,1,1,1
sp_28,2,1,1,2,1,1
sp_29,2,3,1,2,1,1
sp_30,2,1,1,2,1,1
sp_31,2,3,3,2,1,1
sp_32,2,2,1,2,1,1
sp_33,2,2,1,2,1,1
sp_34,2,2,1,2,1,2
sp_35,2,2,1,2,1,1
sp_36,1,1,1,0,1,2
sp_37,3,2,1,0,1,1
sp_38,3,2,1,0,2,1
sp_40,2,2,1,0,2,1
sp_41,3,2,1,0,1,1
sp_42,2,2,1,0,1,1
sp_43,2,2,1,0,1,1
sp_44,3,2,1,0,1,1
sp_45,1,1,1,0,1,1
sp_46,1,1,1,0,1,1
sp_47,1,2,1,0,1,1
sp_49,2,2,1,2,1,1
sp_50,2,2,1,2,1,1
sp_51,2,2,3,2,2,2
sp_52,2,2,1,2,1,1
sp_53,2,2,1,2,2,1
sp_54,2,2,1,2,1,1
sp_55,2,2,5,2,1,4
sp_56,2,2,1,2,1,1
sp_57,2,2,1,2,1,1
sp_58,2,2,1,2,1,1
sp_59,2,2,1,2,1,1
sp_60,2,3,1,2,1,1
sp_61,2,2,1,2,1,1
sp_62,2,2,5,2,1,1
sp_63,2,2,1,2,1,1
sp_64,2,2,1,2,1,2
sp_65,2,2,1,2,1,1
sp_66,2,2,1,2,1,2
sp_67,1,1,1,1,1,1
sp_68,1,1,1,1,1,1
sp_69,1,1,1,1,1,1
sp_70,1,2,1,1,1,1
sp_71,1,2,1,1,1,2
sp_72,1,1,1,1,1,1
sp_73,1,1,1,1,1,2
sp_74,1,1,1,1,1,1
sp_75,1,1,1,1,1,1
sp_76,1,1,1,1,1,3
sp_77,1,2,1,1,1,1
sp_78,1,1,1,1,1,2
sp_79,1,1,1,1,1,1
sp_80,1,1,1,1,1,1
sp_81,1,1,1,1,1,1
sp_82,1,2,1,1,1,1
sp_83,1,2,5,1,1,1
sp_84,1,2,1,1,1,1
sp_85,1,2,1,1,1,1
sp_87,1,1,3,1,1,1
sp_88,1,1,3,1,1,4
sp_89,1,2,2,1,1,1
sp_90,1,2,1,1,1,2
sp_91,5,4,1,1,1,1
sp_92,5,4,1,1,1,1
sp_93,2,2,1,1,1,2
sp_94,2,2,1,1,1,2
sp_95,2,2,1,1,1,1
sp_96,2,2,1,1,1,1
sp_97,2,2,2,1,3,3
sp_98,2,2,1,1,1,1
sp_99,1,2,1,1,1,1
sp_100,2,2,1,1,1,1
sp_101,3,2,1,1,1,1
sp_102,3,2,1,1,1,1
sp_103,3,2,1,1,1,1
sp_104,3,2,1,1,2,1
sp_105,2,2,1,1,2,1
sp_106,1,1,1,1,1,1
sp_107,1,1,1,1,1,1
sp_108,5,3,1,1,1,1
sp_109,2,2,1,1,1,1
sp_110,3,3,1,1,1,1
sp_111,1,2,1,1,1,1
sp_112,1,2,1,1,1,1
sp_113,2,2,1,1,1,1
sp_114,2,3,1,1,1,3
sp_115,2,2,1,1,1,2
sp_116,1,2,1,1,1,2
sp_117,1,1,1,1,1,1
sp_118,1,1,1,1,1,1
sp_119,1,1,1,1,1,2
sp_120,1,1,1,1,1,1
sp_122,1,1,1,1,1,1
sp_123,1,1,3,1,3,1
sp_124,1,1,1,1,1,1
sp_125,1,1,3,1,1,1
sp_126,1,1,1,1,1,1
sp_128,1,1,1,1,1,2
sp_129,1,1,1,1,1,1
sp_130,1,1,1,1,1,1
sp_131,1,1,1,1,1,1
sp_132,1,1,1,1,1,1
sp_133,1,1,2,1,1,1
sp_134,1,1,1,1,1,2
sp_135,1,1,1,1,1,2
sp_136,1,1,1,1,1,1
sp_137,1,1,1,1,1,1
sp_138,1,1,1,1,1,1
sp_139,1,1,1,1,1,1
sp_140,2,2,1,1,1,1
sp_141,2,2,1,1,1,1
sp_142,1,1,1,2,1,2
